{{Passive skill
|id                                  = AscendancyCustomBerserker8
|int_id                              = 28815
|name                                = Dire Rampart
|ascendancy_class                    = Berserker
|is_notable                          = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = fortify_on_hit
|stat1_value                         = 1
|stat2_id                            = life_regeneration_per_minute_%_per_fortification
|stat2_value                         = 12
|stat_text                           = Melee [[Hit|Hits]] Fortify<br>Regenerate 0.2% of [[Life]] per second per Fortification
}}
