{{Passive skill
|id                                  = atlas_delve_2_7
|int_id                              = 12390
|name                                = Packed with Energy
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = DelveNotable2 (AtlasTrees)
|stat1_id                            = map_movement_velocity_+%_per_sulphite_vein_mined
|stat1_value                         = 15
|stat2_id                            = map_damage_+%_per_sulphite_vein_mined
|stat2_value                         = 35
|stat3_id                            = map_additional_maximum_all_elemental_resistances_%_per_sulphite_vein_mined
|stat3_value                         = 1
|stat_text                           = You gain 15% increased [[Movement Speed]] for each Voltaxic Sulphite Vein or Chest found in your Maps<br>You gain 35% increased Damage for each Voltaxic Sulphite Vein or Chest found in your Maps<br>You gain +1% to all maximum [[Elemental Resistance|Elemental Resistances]] for each Voltaxic Sulphite Vein or Chest found in your Maps
}}
