{{Passive skill
|id                                  = AscendancyCustomNecromancer13
|int_id                              = 16440
|name                                = Vile Imprecations
|buff_id                             = generic_buff_aura
|ascendancy_class                    = Necromancer
|is_notable                          = True
|icon                                = VoodooShamanBloodMagic2 (VoodooShaman)
|stat1_id                            = local_display_nearby_enemies_have_malediction
|stat1_value                         = 1
|stat2_id                            = curse_aura_skills_reservation_efficiency_+%
|stat2_value                         = 30
|stat_text                           = [[Nearby]] Enemies have Malediction<br>30% increased Reservation Efficiency of [[Curse]] Aura [[Skill|Skills]]<br>
}}
