{{Mod
|id                               = MinionLifeInfluenceMaven
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of the Elevated Conquest
|mod_type                         = MinionLifeMaven
|stat_text                        = [[Minion|Minions]] have (36-40)% increased maximum [[Life]]<br>[[Minion|Minions]] Regenerate (1-1.5)% of [[Life]] per second
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 36
|stat1_max                        = 40
|stat2_id                         = minion_life_regeneration_rate_per_minute_%
|stat2_min                        = 60
|stat2_max                        = 90
|spawn_weight1_tag                = helmet_adjudicator
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
