{{Mod
|id                               = AnimalCharmMineAuraEffect2
|mod_groups                       = AnimalCharmMineAuraEffect
|domain                           = 35
|generation_type                  = 1
|required_level                   = 60
|name                             = Saboteur's
|mod_type                         = AnimalCharmMineAuraEffect
|stat_text                        = (31-50)% increased Effect of Auras from [[Mine|Mines]]
|stat1_id                         = mine_aura_effect_+%
|stat1_min                        = 31
|stat1_max                        = 50
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 250
|spawn_weight2_tag                = dex_animal_charm
|spawn_weight2_value              = 250
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
