{{Mod
|id                               = DelveJewelryMinionRunSpeed1
|mod_groups                       = MinionMovementSpeed
|domain                           = 16
|generation_type                  = 2
|required_level                   = 74
|name                             = of the Underground
|mod_type                         = MinionRunSpeed
|stat_text                        = [[Minion|Minions]] have (15-30)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 15
|stat1_max                        = 30
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = quiver
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = ring
|spawn_weight4_value              = 2000
|spawn_weight5_tag                = amulet
|spawn_weight5_value              = 2000
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
