{{Mod
|id                               = EinharMasterAllResist2
|mod_groups                       = AllResistances
|domain                           = 9
|generation_type                  = 2
|required_level                   = 60
|name                             = of Craft
|mod_type                         = AllResistances
|stat_text                        = +(9-12)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 9
|stat1_max                        = 12
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
