{{Mod
|id                               = CurseAreaOfEffectUnique__4
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_groups                       = CurseAreaOfEffect
|mod_type                         = CurseAreaOfEffect
|game_mode                        = 0
|stat_text                        = (50-25)% reduced Area of Effect of Hex [[Skill|Skills]]
|stat1_id                         = curse_area_of_effect_+%
|stat1_min                        = -50
|stat1_max                        = -25
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
