{{Mod
|id                               = ChargeBonusVaalPactEnduranceCharges
|mod_groups                       = VaalPact
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = VaalPactMaximumEnduranceCharge
|stat_text                        = You have Vaal Pact while at maximum [[Endurance Charge|Endurance Charges]]
|stat1_id                         = gain_vaal_pact_while_at_maximum_endurance_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
