{{Mod
|id                               = MaimOnCritUnique__1
|mod_groups                       = ChanceToMaim
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MaimOnCrit
|stat_text                        = 50% chance to Maim Enemies on [[Critical Strike]] with [[Attack|Attacks]]
|stat1_id                         = maim_on_crit_%_with_attacks
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
