{{Mod
|id                               = StarterPassiveTreeJewelUnique__6
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = StarterPassiveJewel
|mod_type                         = StarterPassiveJewel6
|game_mode                        = 0
|stat_text                        = While your [[Passive skill|Passive Skill]] Tree connects to the Scion's starting location, you gain:<br />+25 to All Attributes
|stat1_id                         = local_unique_jewel_additional_all_attributes_with_passive_tree_connected_to_scion_start
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = attribute
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
