{{Passive skill
|id                                  = sigil_notable2264
|int_id                              = 21389
|name                                = Runesmith
|is_notable                          = True
|icon                                = Brand4
|stat1_id                            = cast_speed_for_brand_skills_+%
|stat1_value                         = 12
|stat2_id                            = sigil_attached_target_damage_taken_+%
|stat2_value                         = 5
|stat_text                           = 12% increased [[Cast Speed]] with Brand [[Skill|Skills]]<br>Enemies take 5% increased Damage for each of your Brands Attached to them
|connections                         = mastery_brand38,sigil_damage_and_activation_range2262,sigil_frequency_and_duration2263b
}}
