{{Mod
|id                               = HellscapeDownsideDealNoDamageYourself_
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_groups                       = HellscapeDownsideDealNoDamageYourself
|mod_type                         = HellscapeDownsideDealNoDamageYourself
|game_mode                        = 0
|stat_text                        = You can't deal Damage with your [[Skill|Skills]] yourself
|stat1_id                         = deal_no_damage_yourself
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
