{{Passive skill
|id                                  = power_charge_keystone2172
|int_id                              = 21628
|name                                = POWER CHARGE
|is_keystone                         = True
|icon                                = SuperChargeIntKeystone
|stat1_id                            = base_cannot_gain_endurance_charges
|stat1_value                         = 1
|stat2_id                            = cannot_gain_frenzy_charges
|stat2_value                         = 1
|stat_text                           = Cannot gain [[Endurance Charge|Endurance Charges]]
}}
