{{Passive skill
|id                                  = mace_stun2491
|int_id                              = -29544
|name                                = Mace Damage and Reduced Enemy Stun Threshold
|icon                                = macedmg
|stat1_id                            = physical_mace_damage_+%
|stat1_value                         = 16
|stat2_id                            = mace_ailment_damage_+%
|stat2_value                         = 16
|stat3_id                            = while_using_mace_stun_threshold_reduction_+%
|stat3_value                         = 10
|stat_text                           = 16% increased [[Physical Damage]] with [[Mace|Maces]] or Sceptres<br>[[Mace]] or Sceptre [[Attack|Attacks]] deal 16% increased Damage with Ailments<br>10% reduced Enemy Stun Threshold with [[Mace|Maces]] or Sceptres
}}
