{{Mod
|id                               = NecropolisMaim2
|domain                           = 36
|generation_type                  = 34
|required_level                   = 14
|mod_groups                       = NecropolisMaim
|mod_type                         = NecropolisMaim
|game_mode                        = 0
|stat_text                        = [[Attack|Attacks]] have 50% chance to Maim on [[Hit]]
|stat1_id                         = maim_on_hit_%
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 40
|stat2_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 400
}}
