{{Mod
|id                               = HellscapeDownsideMinionDamage0
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 25
|required_level                   = 1
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (21-18)% reduced Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = -21
|stat1_max                        = -18
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
