{{Passive skill
|id                                  = AscendancyCustomSaboteur16_
|int_id                              = 61696
|name                                = Sea Legs
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = TempestNotable1 (AtlasTrees)
|stat1_id                            = evasion_rating_increased_by_overcapped_cold_resistance
|stat1_value                         = 1
|stat2_id                            = critical_strike_chance_increased_by_overcapped_lightning_resistance
|stat2_value                         = 1
|stat3_id                            = cold_and_lightning_damage_resistance_%
|stat3_value                         = 30
|stat_text                           = [[Evasion Rating]] is increased by Overcapped [[Cold Resistance]]<br>[[Critical Strike Chance]] is increased by Overcapped [[Lightning Resistance]]<br>+30% to Cold and [[Lightning Resistance|Lightning Resistances]]
}}
