{{Mod
|id                               = VillageWeaponIgnoreElementalResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = AttackCriticalStrikesIgnoreElementalResistances
|mod_type                         = AttackCriticalStrikesIgnoreElementalResistances
|game_mode                        = 0
|stat_text                        = [[Attack]] [[Critical strike|Critical Strikes]] ignore Enemy Monster [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = attack_critical_strikes_ignore_elemental_resistances
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant
}}
