{{Mod
|id                               = HellscapeUpsideCannotBeFrozen___
|domain                           = 1
|generation_type                  = 24
|required_level                   = 1
|mod_groups                       = CannotBeFrozen
|mod_type                         = CannotBeFrozen
|game_mode                        = 0
|stat_text                        = Cannot be [[Freeze|Frozen]]
|stat1_id                         = base_cannot_be_frozen
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = boots
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
