{{Mod
|id                               = MapSimulacrumImpale2_
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSimulacrumMonsterAilmentsPlus
|mod_type                         = MapSimulacrumImpale
|game_mode                        = 0
|stat_text                        = Monsters' [[Attack|Attacks]] have 75% chance to Impale on [[Hit]]
|stat1_id                         = map_monsters_chance_to_impale_%
|stat1_min                        = 75
|stat1_max                        = 75
|tags                             = physical
}}
