{{Mod
|id                               = WeaponElementalDamageEssence1
|domain                           = 1
|generation_type                  = 1
|required_level                   = 1
|name                             = Essences
|mod_groups                       = IncreasedWeaponElementalDamagePercent
|mod_type                         = IncreasedWeaponElementalDamagePercent
|game_mode                        = 0
|stat_text                        = (11-15)% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = elemental_damage_with_attack_skills_+%
|stat1_min                        = 11
|stat1_max                        = 15
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
