{{Mod
|id                               = AddedPhysicalDamageUniqueQuiver8
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalDamageWithBows
|stat_text                        = 6 to 10 Added [[Physical Damage]] with [[Bow]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage_with_bow
|stat1_min                        = 6
|stat1_max                        = 6
|stat2_id                         = attack_maximum_added_physical_damage_with_bow
|stat2_min                        = 10
|stat2_max                        = 10
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
