{{Mod
|id                               = EssenceHorrorChargesMaxAndDuration_
|mod_groups                       = EssenceBuffHorror
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EssenceBuffHorror
|stat_text                        = 500% increased Endurance, [[Frenzy]] and [[Power Charge]] Duration (Hidden)<br>+3 to Maximum [[Frenzy Charge|Frenzy Charges]] (Hidden)<br>+3 to Maximum [[Endurance Charge|Endurance Charges]] (Hidden)<br>+3 to Maximum [[Power Charge|Power Charges]] (Hidden)
|stat1_id                         = charge_duration_+%
|stat1_min                        = 500
|stat1_max                        = 500
|stat2_id                         = max_frenzy_charges
|stat2_min                        = 3
|stat2_max                        = 3
|stat3_id                         = max_endurance_charges
|stat3_min                        = 3
|stat3_max                        = 3
|stat4_id                         = max_power_charges
|stat4_min                        = 3
|stat4_max                        = 3
|tags                             = endurance_charge, frenzy_charge, power_charge
}}
