{{Mod
|id                               = FortifyOnMeleeHitEldritchImplicit3
|mod_groups                       = FortifyOnMeleeHit
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_type                         = FortifyOnMeleeHit
|stat_text                        = Melee [[Hit|Hits]] have (10-11)% chance to Fortify
|stat1_id                         = chance_to_fortify_on_melee_hit_+%
|stat1_min                        = 10
|stat1_max                        = 11
|spawn_weight1_tag                = no_tier_4_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
