{{Mod
|id                               = MinionAccuracyRatingPerDevotion_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DevotionBonus
|mod_type                         = MinionAccuracyRatingPerDevotion
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] have +60 to [[Accuracy Rating]] per 10 Devotion
|stat1_id                         = minion_accuracy_rating_per_10_devotion
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = attack, minion
}}
