{{Mod
|id                               = AddedPhysicalDamage8Inverted
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 64
|name                             = Tempered
|mod_type                         = SelfPhysicalDamageTaken
|stat_text                        = Adds (9-12) to (19-22) [[Physical Damage]] to [[Attack|Attacks]] against you
|stat1_id                         = from_self_minimum_added_attack_physical_damage_taken
|stat1_min                        = 9
|stat1_max                        = 12
|stat2_id                         = from_self_maximum_added_attack_physical_damage_taken
|stat2_min                        = 19
|stat2_max                        = 22
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
