{{Mod
|id                               = FlaskBuffAvoidChillFreeze2
|mod_groups                       = FlaskBuffWhileHealing
|domain                           = 2
|generation_type                  = 2
|required_level                   = 23
|name                             = of the Sea Lion
|mod_type                         = FlaskBuffAvoidChillFreeze
|stat_text                        = (36-40)% chance to Avoid being Chilled during Effect<br>(36-40)% chance to Avoid being [[Freeze|Frozen]] during Effect
|stat1_id                         = local_avoid_chill_%_during_flask_effect
|stat1_min                        = 36
|stat1_max                        = 40
|stat2_id                         = local_avoid_freeze_%_during_flask_effect
|stat2_min                        = 36
|stat2_max                        = 40
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
