{{Mod
|id                               = StarterPassiveTreeJewelUnique__7
|mod_groups                       = StarterPassiveJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = StarterPassiveJewel7
|stat_text                        = While your Passive [[Skill]] Tree connects to the Marauder's starting location, you gain:<br />Melee [[Skill|Skills]] have 25% increased Area of Effect
|stat1_id                         = local_unique_jewel_melee_skills_area_of_effect_+%_with_passive_tree_connected_to_marauder_start
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
