{{Mod
|id                               = SwordPhysicalAttackSpeedUnique__1
|mod_groups                       = SwordAttackSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|mod_type                         = SwordAttackSpeed
|stat_text                        = 35% increased [[Attack Speed]] with [[Sword|Swords]]
|stat1_id                         = sword_attack_speed_+%
|stat1_min                        = 35
|stat1_max                        = 35
|tags                             = attack, speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
