{{Mod
|id                               = FlaskChargesFromKillsFinalUnique__1_
|mod_groups                       = FlaskChargesFromKillsFinal
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskChargesFromKillsFinal
|stat_text                        = 80% less Flask [[Charge|Charges]] gained from [[Kill|Kills]]
|stat1_id                         = flask_charges_gained_from_kills_+%_final_from_unique
|stat1_min                        = -80
|stat1_max                        = -80
|tags                             = flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
