{{Passive skill
|id                                  = AscendancyCustomAssassin12
|int_id                              = 48223
|name                                = Weaver's Contrition
|reminder_text                       = (Penance Mark curses a single enemy, causing them to spawn multiple phantasms when hit. The phantasms will be allies of the marked enemy with the same monster level. They cast a projectile spell which deals physical damage, and are immune to curses. You can only have one Mark at a time)
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = ChaosDamageOverTimeNotable
|stat1_id                            = local_display_grants_level_X_penance_mark
|stat1_value                         = 20
|stat_text                           = Grants [[Level|level]] 20 Penance Mark
}}
