{{Mod
|id                               = GlobalChanceToBlindOnHitInfluence1__
|mod_groups                       = BlindOnHit
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Redemption
|mod_type                         = GlobalChanceToBlindOnHit
|stat_text                        = (8-11)% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 8
|stat1_max                        = 11
|spawn_weight1_tag                = gloves_eyrie
|spawn_weight1_value              = 500
|spawn_weight2_tag                = quiver_eyrie
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
