{{Mod
|id                               = SynthesisImplicitLocalElementalPen3
|mod_groups                       = LocalAttackReduceEnemyElementalResistance
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = LocalAttackReduceEnemyElementalResistance
|stat_text                        = [[Attack|Attacks]] with this Weapon Penetrate (4-5)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = local_elemental_penetration_%
|stat1_min                        = 4
|stat1_max                        = 5
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
