{{Mod
|id                               = FasterIgniteDamageEldritchImplicit1
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_type                         = FasterIgniteDamage
|stat_text                        = [[Ignite|Ignites]] you inflict deal Damage 5% faster
|stat1_id                         = faster_burn_%
|stat1_min                        = 5
|stat1_max                        = 5
|spawn_weight1_tag                = no_tier_6_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = boots
|spawn_weight2_value              = 600
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
