{{Mod
|id                               = V2DualWieldBlockCorrupted
|mod_groups                       = BlockWhileDualWielding
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = BlockWhileDualWielding
|stat_text                        = +(8-10)% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|stat1_id                         = block_while_dual_wielding_%
|stat1_min                        = 8
|stat1_max                        = 10
|spawn_weight1_tag                = claw
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = block
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
