{{Passive skill
|id                                  = affliction_notable_titanic_swings
|int_id                              = 48550
|name                                = Titanic Swings
|is_notable                          = True
|icon                                = AreaDmgNotable
|stat1_id                            = two_handed_melee_area_of_effect_+%
|stat1_value                         = 15
|stat2_id                            = two_handed_melee_area_damage_+%
|stat2_value                         = 20
|stat_text                           = 15% increased Area of Effect while wielding a [[Two Handed Melee Weapons|Two Handed Melee Weapon]]<br>20% increased Area Damage while wielding a [[Two Handed Melee Weapons|Two Handed Melee Weapon]]
}}
