{{Mod
|id                               = SynthesisImplicitFlatFireDamageTaken1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FireDamageTaken
|mod_type                         = FlatFireDamageTaken
|game_mode                        = 0
|stat_text                        = -(15-10) [[Fire Damage]] taken from [[Hit|Hits]]
|stat1_id                         = fire_damage_taken_+
|stat1_min                        = -15
|stat1_max                        = -10
|tags                             = elemental, fire
}}
