{{Mod
|id                               = ChanceToBleedUnique__2__
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChanceToBleed
|mod_type                         = ChanceToBleed
|game_mode                        = 0
|stat_text                        = [[Attack|Attacks]] have 25% chance to cause Bleeding
|stat1_id                         = bleed_on_hit_with_attacks_%
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = bleed, physical, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
