{{Mod
|id                               = AurasOnlyApplyToLinkedTargetUnique__1
|mod_groups                       = AurasOnlyApplyToLinkedTarget
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AurasOnlyApplyToLinkedTarget
|stat_text                        = Linked Targets always count as in range of Non-Curse Auras from your [[Skill|Skills]]<br />Non-Curse Auras from your [[Skill|Skills]] only apply to you and Linked Targets
|stat1_id                         = non_curse_auras_only_apply_to_you_and_linked_targets
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
