{{Passive skill
|id                                  = arcing_blows210
|int_id                              = 6615
|name                                = Arcing Blows
|is_notable                          = True
|icon                                = sparkingattacks
|stat1_id                            = lightning_damage_with_attack_skills_+%
|stat1_value                         = 30
|stat2_id                            = reduce_enemy_lightning_resistance_with_weapons_%
|stat2_value                         = 8
|stat_text                           = 30% increased [[Lightning Damage]] with [[Attack]] [[Skill|Skills]]<br>Damage with Weapons Penetrates 8% [[Lightning Resistance]]
|connections                         = weapon_lightning_damage1715,mastery_elemental97,mastery_elemental97,weapon_lightning_damage1715
}}
