{{Mod
|id                               = DelveHelmetEnemyColdResistanceAura1
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|granted_buff_id                  = reduced_enemy_cold_resistance_from_item
|granted_buff_value               = 60
|mod_groups                       = LocalDisplayNearbyEnemyColdDamageResistance
|mod_type                         = NearbyEnemyColdDamageResistance
|game_mode                        = 0
|stat_text                        = {{Radius||6.0m}} Enemies have -9% to [[Cold Resistance]]
|stat1_id                         = local_display_nearby_enemy_cold_damage_resistance_%
|stat1_min                        = -9
|stat1_max                        = -9
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = helmet
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = elemental_damage, damage, elemental, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
