{{Mod
|id                               = SupportedByRemoteMineUniqueStaff11
|mod_groups                       = SupportedByRemoteMineLevel
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportRemoteMine
|mod_type                         = SupportedByRemoteMineLevel
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Blastchain [[Mine]]
|stat1_id                         = local_display_socketed_gems_get_remote_mine_level
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
