{{Passive skill
|id                                  = AscendancyJuggernaut12
|int_id                              = 56789
|name                                = Unrelenting
|ascendancy_class                    = Juggernaut
|is_notable                          = True
|icon                                = Unrelenting (Juggernaut)
|stat1_id                            = elemental_damage_taken_+%_at_maximum_endurance_charges
|stat1_value                         = -8
|stat2_id                            = physical_damage_reduction_%_per_endurance_charge
|stat2_value                         = 1
|stat3_id                            = chaos_damage_resistance_%_per_endurance_charge
|stat3_value                         = 4
|stat_text                           = 8% reduced [[Elemental Damage]] taken while at Maximum [[Endurance Charge|Endurance Charges]]<br>1% additional [[Physical Damage]] Reduction per [[Endurance Charge]]<br>+4% to [[Chaos Resistance]] per [[Endurance Charge]]
|connections                         = AscendancyJuggernaut1
}}
