{{Mod
|id                               = LocalIncreaseSocketedFireGemLevel1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 2
|name                             = Flame Spinner's
|mod_type                         = LocalIncreaseSocketedFireGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] Fire Gems
|stat1_id                         = local_socketed_fire_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = attack_staff
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = attack_dagger
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, fire, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
