{{Mod
|id                               = SpellAddedColdDamageHybridTwoHandDelve
|mod_groups                       = SpellAddedColdDamageHybrid
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = SpellAddedColdDamageHybrid
|stat_text                        = Adds (18-24) to (36-42) [[Cold Damage]] to [[Spell|Spells]]<br>(20-40)% increased [[Cold Damage]]
|stat1_id                         = spell_minimum_added_cold_damage
|stat1_min                        = 18
|stat1_max                        = 24
|stat2_id                         = spell_maximum_added_cold_damage
|stat2_min                        = 36
|stat2_max                        = 42
|stat3_id                         = cold_damage_+%
|stat3_min                        = 20
|stat3_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, cold, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
