{{Mod
|id                               = ChanceToShockChilledEnemiesUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChanceToShockChilledEnemies
|mod_type                         = ChanceToShockChilledEnemies
|game_mode                        = 0
|stat_text                        = 50% chance to [[Shock]] [[Chill|Chilled]] Enemies
|stat1_id                         = chance_to_shock_chilled_enemies_%
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
