{{Mod
|id                               = ChanceToAvoidShockEssence4
|domain                           = 1
|generation_type                  = 2
|required_level                   = 42
|name                             = of the Essence
|mod_groups                       = ReducedShockChance
|mod_type                         = ReducedShockChance
|game_mode                        = 0
|stat_text                        = (43-46)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 43
|stat1_max                        = 46
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
