{{Passive skill
|id                                  = life_reduced_mana_cost1935
|int_id                              = 3533
|name                                = Life and Reduced Cost
|icon                                = LifeAndReducedManaCost
|stat1_id                            = maximum_life_+%
|stat1_value                         = 5
|stat2_id                            = base_cost_+%
|stat2_value                         = -3
|stat_text                           = 5% increased maximum [[Life]]<br>3% reduced Cost of [[Skill|Skills]]
|connections                         = life_reduced_mana_cost1936,life_reduced_mana_cost1936,life_reduced_mana_notable1937
}}
