{{Base item
|rarity_id                               = normal
|name                                    = Screaming Invitation
|class_id                                = MiscMapItem
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = From the heart of the Tangle, the Eater of Worlds<br>reaches out for control of the Atlas.
|drop_level                              = 1
|drop_rarities_ids                       = normal, magic, rare
|tags                                    = primordial_map, default
|metadata_id                             = Metadata/Items/MapFragments/Primordial/CurrencyTangleBossKey
|help_text                               = Open portals to Absence of Symmetry and Harmony by using this item in a personal Map Device.
|implicit1                               = ChampionsFragment
}}
