{{Mod
|id                               = AdditionalTotemsUniqueScepter_1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 78
|mod_groups                       = AdditionalTotems
|mod_type                         = AdditionalTotems
|game_mode                        = 0
|stat_text                        = +(3-5) to maximum number of Summoned [[Totem|Totems]]
|stat1_id                         = number_of_additional_totems_allowed
|stat1_min                        = 3
|stat1_max                        = 5
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
