{{Passive skill
|id                                  = AscendancyChampion13
|int_id                              = 41433
|name                                = Armour and Evasion, Impale Chance
|ascendancy_class                    = Champion
|icon                                = ImpalePassive (Champion)
|stat1_id                            = evasion_and_physical_damage_reduction_rating_+%
|stat1_value                         = 15
|stat2_id                            = attacks_impale_on_hit_%_chance
|stat2_value                         = 10
|stat_text                           = 15% increased [[Evasion Rating]] and [[Armour]]<br>10% chance to Impale Enemies on [[Hit]] with [[Attack|Attacks]]
|connections                         = AscendancyChampion14,AscendancyChampion14,AscendancyChampionStart
}}
