{{Passive skill
|id                                  = affliction_notable_arcane_adept
|int_id                              = 15990
|name                                = Arcane Adept
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = channelled_skill_damage_+%
|stat1_value                         = 20
|stat2_id                            = attack_and_cast_speed_+%_while_channelling
|stat2_value                         = 5
|stat3_id                            = gain_arcane_surge_for_4_seconds_after_channelling_for_1_second
|stat3_value                         = 1
|stat_text                           = Channelling [[Skill|Skills]] deal 20% increased Damage<br>5% increased [[Attack]] and [[Cast Speed]] while Channelling<br>Gain Arcane Surge after Channelling for 1 second
}}
