{{Mod
|id                               = BeltFlaskManaRecoveryUnique__2
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = BeltFlaskRecovery
|mod_type                         = BeltFlaskManaRecovery
|game_mode                        = 0
|stat_text                        = 100% increased [[Mana]] Recovery from [[Flask|Flasks]]
|stat1_id                         = flask_mana_to_recover_+%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = flask, resource, mana
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
