{{Mod
|id                               = ChestItemSocketsIzaro
|domain                           = 4
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChestItemSockets
|mod_type                         = ChestItemSockets
|game_mode                        = 0
|stat_text                        = Contained Items have 2 additional [[Item socket|Sockets]]
|stat1_id                         = dropped_items_have_additional_sockets
|stat1_min                        = 2
|stat1_max                        = 2
}}
