{{Passive skill
|id                                  = AscendancyCustomDeadeye16
|int_id                              = 23799
|name                                = have you forgotten?
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = ManaFlasksOften
|stat1_id                            = attack_projectiles_fork
|stat1_value                         = 1
|stat2_id                            = attack_projectiles_fork_additional_times
|stat2_value                         = 1
|stat_text                           = Projectiles from [[Attack|Attacks]] Fork<br>Projectiles from [[Attack|Attacks]] can Fork 1 additional time
}}
