{{Mod
|id                               = TinctureManaRegenOnShock2
|mod_groups                       = ManaRegenerationOnWeaponShock
|domain                           = 34
|generation_type                  = 2
|required_level                   = 1
|name                             = of Voltage
|mod_type                         = ManaRegenerationOnWeaponShock
|stat_text                        = (41-50)% increased [[Mana]] Regeneration Rate if you have [[Shock|Shocked]] an Enemy [[Recently]]
|stat1_id                         = mana_regeneration_rate_+%_if_enemy_shocked_with_weapon_recently
|stat1_min                        = 41
|stat1_max                        = 50
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
