{{Passive skill
|id                                  = one_handed_damage657
|int_id                              = 23801
|name                                = One Handed Melee Damage
|icon                                = onehanddamage
|stat1_id                            = one_handed_melee_physical_damage_+%
|stat1_value                         = 10
|stat2_id                            = bleeding_damage_+%
|stat2_value                         = 0
|stat3_id                            = one_handed_weapon_ailment_damage_+%
|stat3_value                         = 15
|stat_text                           = 10% increased [[Physical Damage]] with One Handed Melee Weapons<br>[[Attack|Attacks]] with One Handed Weapons deal 15% increased Damage with Ailments
}}
