{{Mod
|id                               = ChaosCritChanceJewel
|mod_groups                       = ChaosCritChance
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Obliterating
|mod_type                         = ChaosCritChanceForJewel
|stat_text                        = (12-16)% increased [[Critical Strike Chance]] with Chaos [[Skill|Skills]]
|stat1_id                         = chaos_critical_strike_chance_+%
|stat1_min                        = 12
|stat1_max                        = 16
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = chaos_damage, damage, chaos, critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
