{{Mod
|id                               = HellscapeUpsideKnockbackOnHit3__
|mod_groups                       = Knockback
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = GlobalKnockbackChance
|stat_text                        = (21-25)% chance to Knock Enemies Back on [[Hit|hit]]
|stat1_id                         = base_global_chance_to_knockback_%
|stat1_min                        = 21
|stat1_max                        = 25
|spawn_weight1_tag                = gloves
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
