{{Passive skill
|id                                  = affliction_notable_prismatic_carapace
|int_id                              = 54766
|name                                = Prismatic Carapace
|is_notable                          = True
|icon                                = ArmourNotable
|stat1_id                            = additional_maximum_all_elemental_resistances_%
|stat1_value                         = 1
|stat2_id                            = physical_damage_reduction_rating_+%
|stat2_value                         = 30
|stat_text                           = +1% to all maximum [[Elemental Resistance|Elemental Resistances]]<br>30% increased [[Armour]]
}}
