{{Mod
|id                               = MinionAddedColdDamageUnique__1
|mod_groups                       = MinionAddedColdDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionAddedColdDamage
|stat_text                        = [[Minion|Minions]] deal (25-35) to (50-65) additional [[Cold Damage]]
|stat1_id                         = minion_global_minimum_added_cold_damage
|stat1_min                        = 25
|stat1_max                        = 35
|stat2_id                         = minion_global_maximum_added_cold_damage
|stat2_min                        = 50
|stat2_max                        = 65
|tags                             = elemental_damage, damage, elemental, cold, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
