{{Passive skill
|id                                  = shield_damage_elemental_notable2557
|int_id                              = 6967
|name                                = Safeguard
|is_notable                          = True
|icon                                = GenericSpellBlockNotable
|stat1_id                            = spell_block_chance_%_while_holding_staff_or_shield
|stat1_value                         = 6
|stat2_id                            = recover_x_energy_shield_on_spell_block
|stat2_value                         = 50
|stat3_id                            = base_resist_all_elements_%
|stat3_value                         = 8
|stat_text                           = +6% chance to [[Block]] [[Spell Damage]] while holding a [[Staff]] or [[Shield]]<br>Recover 50 [[Energy Shield]] when you [[Block]] [[Spell Damage]]<br>+8% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = mastery_shield213,shield_damage_elemental2556,shield_damage_elemental2558
}}
