{{Mod
|id                               = CrucibleMapMonsterAlwaysCritUber
|mod_groups                       = CrucibleMapMonsterAlwaysCrit
|domain                           = 33
|generation_type                  = 2
|required_level                   = 1
|name                             = of Deadliness
|mod_type                         = CrucibleMapMonsterAlwaysCrit
|stat_text                        = Monsters' [[Hit|Hits]] are always Critical Strikes<br>+80% to Monster [[Critical Strike Multiplier]]
|stat1_id                         = map_item_drop_quantity_+%
|stat1_min                        = 22
|stat1_max                        = 22
|stat2_id                         = map_item_drop_rarity_+%
|stat2_min                        = 12
|stat2_max                        = 12
|stat3_id                         = map_monsters_always_crit
|stat3_min                        = 1
|stat3_max                        = 1
|stat4_id                         = map_monsters_critical_strike_multiplier_+
|stat4_min                        = 80
|stat4_max                        = 80
|spawn_weight1_tag                = crucible_map_high
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
